codigo,nombre,tipo,intensidad,ultimaSemana,tiempoMinutos,descripcion
76,Peso Muerto D1,1,4,2,30,Levantamiento extremo
77,Peso Muerto D2,1,4,2,30,Levantamiento extremo
78,Peso Muerto D3,1,4,1,30,Levantamiento extremo
79,Peso Muerto D4,1,4,2,30,Levantamiento extremo
80,Peso Muerto D5,1,4,2,30,Levantamiento extremo
81,Press Militar A1,1,1,2,15,Empuje hombros suave
82,Press Militar A2,1,1,2,15,Empuje hombros suave
83,Press Militar A3,1,1,1,15,Empuje hombros suave
84,Press Militar A4,1,1,2,15,Empuje hombros suave
85,Press Militar A5,1,1,2,15,Empuje hombros suave
86,Press Militar B1,1,2,2,20,Empuje hombros medio
87,Press Militar B2,1,2,2,20,Empuje hombros medio
88,Press Militar B3,1,2,1,20,Empuje hombros medio
89,Press Militar B4,1,2,2,20,Empuje hombros medio
90,Press Militar B5,1,2,2,20,Empuje hombros medio
91,Press Militar C1,1,3,2,25,Empuje hombros fuerte
92,Press Militar C2,1,3,2,25,Empuje hombros fuerte
93,Press Militar C3,1,3,1,25,Empuje hombros fuerte
94,Press Militar C4,1,3,2,25,Empuje hombros fuerte
95,Press Militar C5,1,3,2,25,Empuje hombros fuerte
96,Press Militar D1,1,4,2,30,Empuje hombros extremo
97,Press Militar D2,1,4,2,30,Empuje hombros extremo
98,Press Militar D3,1,4,1,30,Empuje hombros extremo
99,Press Militar D4,1,4,2,30,Empuje hombros extremo
100,Press Militar D5,1,4,2,30,Empuje hombros extremo
101,Dominadas A1,1,1,2,15,Traccion vertical suave
102,Dominadas A2,1,1,2,15,Traccion vertical suave
103,Dominadas A3,1,1,1,15,Traccion vertical suave
104,Dominadas A4,1,1,2,15,Traccion vertical suave
105,Dominadas A5,1,1,2,15,Traccion vertical suave
106,Dominadas B1,1,2,2,20,Traccion vertical media
107,Dominadas B2,1,2,2,20,Traccion vertical media
108,Dominadas B3,1,2,1,20,Traccion vertical media
109,Dominadas B4,1,2,2,20,Traccion vertical media
110,Dominadas B5,1,2,2,20,Traccion vertical media
111,Dominadas C1,1,3,2,25,Traccion vertical fuerte
112,Dominadas C2,1,3,2,25,Traccion vertical fuerte
113,Dominadas C3,1,3,1,25,Traccion vertical fuerte
114,Dominadas C4,1,3,2,25,Traccion vertical fuerte
115,Dominadas C5,1,3,2,25,Traccion vertical fuerte
116,Dominadas D1,1,4,2,30,Traccion vertical extrema
117,Dominadas D2,1,4,2,30,Traccion vertical extrema
118,Dominadas D3,1,4,1,30,Traccion vertical extrema
119,Dominadas D4,1,4,2,30,Traccion vertical extrema
120,Dominadas D5,1,4,2,30,Traccion vertical extrema
121,Zancadas A1,1,1,2,15,Trabajo piernas suave
122,Zancadas A2,1,1,2,15,Trabajo piernas suave
123,Zancadas A3,1,1,1,15,Trabajo piernas suave
124,Zancadas A4,1,1,2,15,Trabajo piernas suave
125,Zancadas A5,1,1,2,15,Trabajo piernas suave
126,Zancadas B1,1,2,2,20,Trabajo piernas medio
127,Zancadas B2,1,2,2,20,Trabajo piernas medio
128,Zancadas B3,1,2,1,20,Trabajo piernas medio
129,Zancadas B4,1,2,2,20,Trabajo piernas medio
130,Zancadas B5,1,2,2,20,Trabajo piernas medio
131,Zancadas C1,1,3,2,25,Trabajo piernas fuerte
132,Zancadas C2,1,3,2,25,Trabajo piernas fuerte
133,Zancadas C3,1,3,1,25,Trabajo piernas fuerte
134,Zancadas C4,1,3,2,25,Trabajo piernas fuerte
135,Zancadas C5,1,3,2,25,Trabajo piernas fuerte
136,Zancadas D1,1,4,2,30,Trabajo piernas extremo
137,Zancadas D2,1,4,2,30,Trabajo piernas extremo
138,Zancadas D3,1,4,1,30,Trabajo piernas extremo
139,Zancadas D4,1,4,2,30,Trabajo piernas extremo
140,Zancadas D5,1,4,2,30,Trabajo piernas extremo
141,Curl Biceps A1,1,1,2,15,Flexion brazos suave
142,Curl Biceps A2,1,1,2,15,Flexion brazos suave
143,Curl Biceps A3,1,1,1,15,Flexion brazos suave
144,Curl Biceps A4,1,1,2,15,Flexion brazos suave
145,Curl Biceps A5,1,1,2,15,Flexion brazos suave
146,Curl Biceps B1,1,2,2,20,Flexion brazos media
147,Curl Biceps B2,1,2,2,20,Flexion brazos media
148,Curl Biceps B3,1,2,1,20,Flexion brazos media
149,Curl Biceps B4,1,2,2,20,Flexion brazos media
150,Curl Biceps B5,1,2,2,20,Flexion brazos media
151,Curl Biceps C1,1,3,2,25,Flexion brazos fuerte
152,Curl Biceps C2,1,3,2,25,Flexion brazos fuerte
153,Curl Biceps C3,1,3,1,25,Flexion brazos fuerte
154,Curl Biceps C4,1,3,2,25,Flexion brazos fuerte
155,Curl Biceps C5,1,3,2,25,Flexion brazos fuerte
156,Curl Biceps D1,1,4,2,30,Flexion brazos extrema
157,Curl Biceps D2,1,4,2,30,Flexion brazos extrema
158,Curl Biceps D3,1,4,1,30,Flexion brazos extrema
159,Curl Biceps D4,1,4,2,30,Flexion brazos extrema
160,Curl Biceps D5,1,4,2,30,Flexion brazos extrema
161,Press Frances A1,1,1,2,15,Extension brazos suave
162,Press Frances A2,1,1,2,15,Extension brazos suave
163,Press Frances A3,1,1,1,15,Extension brazos suave
164,Press Frances A4,1,1,2,15,Extension brazos suave
165,Press Frances A5,1,1,2,15,Extension brazos suave
166,Press Frances B1,1,2,2,20,Extension brazos media
167,Press Frances B2,1,2,2,20,Extension brazos media
168,Press Frances B3,1,2,1,20,Extension brazos media
169,Press Frances B4,1,2,2,20,Extension brazos media
170,Press Frances B5,1,2,2,20,Extension brazos media
171,Press Frances C1,1,3,2,25,Extension brazos fuerte
172,Press Frances C2,1,3,2,25,Extension brazos fuerte
173,Press Frances C3,1,3,1,25,Extension brazos fuerte
174,Press Frances C4,1,3,2,25,Extension brazos fuerte
175,Press Frances C5,1,3,2,25,Extension brazos fuerte
176,Press Frances D1,1,4,2,30,Extension brazos extrema
177,Press Frances D2,1,4,2,30,Extension brazos extrema
178,Press Frances D3,1,4,1,30,Extension brazos extrema
179,Press Frances D4,1,4,2,30,Extension brazos extrema
180,Press Frances D5,1,4,2,30,Extension brazos extrema
181,Plancha Core A1,1,1,2,15,Abdomen isometrico suave
182,Plancha Core A2,1,1,2,15,Abdomen isometrico suave
183,Plancha Core A3,1,1,1,15,Abdomen isometrico suave
184,Plancha Core A4,1,1,2,15,Abdomen isometrico suave
185,Plancha Core A5,1,1,2,15,Abdomen isometrico suave
186,Plancha Core B1,1,2,2,20,Abdomen isometrico medio
187,Plancha Core B2,1,2,2,20,Abdomen isometrico medio
188,Plancha Core B3,1,2,1,20,Abdomen isometrico medio
189,Plancha Core B4,1,2,2,20,Abdomen isometrico medio
190,Plancha Core B5,1,2,2,20,Abdomen isometrico medio
191,Plancha Core C1,1,3,2,25,Abdomen isometrico fuerte
192,Plancha Core C2,1,3,2,25,Abdomen isometrico fuerte
193,Plancha Core C3,1,3,1,25,Abdomen isometrico fuerte
194,Plancha Core C4,1,3,2,25,Abdomen isometrico fuerte
195,Plancha Core C5,1,3,2,25,Abdomen isometrico fuerte
196,Plancha Core D1,1,4,2,30,Abdomen isometrico extremo
197,Plancha Core D2,1,4,2,30,Abdomen isometrico extremo
198,Plancha Core D3,1,4,1,30,Abdomen isometrico extremo
199,Plancha Core D4,1,4,2,30,Abdomen isometrico extremo
200,Plancha Core D5,1,4,2,30,Abdomen isometrico extremo
201,Trote Cinta A1,2,1,2,30,Cardio maquina suave
202,Trote Cinta A2,2,1,2,30,Cardio maquina suave
203,Trote Cinta A3,2,1,1,30,Cardio maquina suave
204,Trote Cinta A4,2,1,2,30,Cardio maquina suave
205,Trote Cinta A5,2,1,2,30,Cardio maquina suave
206,Trote Cinta B1,2,2,2,40,Cardio maquina medio
207,Trote Cinta B2,2,2,2,40,Cardio maquina medio
208,Trote Cinta B3,2,2,1,40,Cardio maquina medio
209,Trote Cinta B4,2,2,2,40,Cardio maquina medio
210,Trote Cinta B5,2,2,2,40,Cardio maquina medio
211,Trote Cinta C1,2,3,2,45,Cardio maquina fuerte
212,Trote Cinta C2,2,3,2,45,Cardio maquina fuerte
213,Trote Cinta C3,2,3,1,45,Cardio maquina fuerte
214,Trote Cinta C4,2,3,2,45,Cardio maquina fuerte
215,Trote Cinta C5,2,3,2,45,Cardio maquina fuerte
216,Trote Cinta D1,2,4,2,20,Cardio maquina extremo
217,Trote Cinta D2,2,4,2,20,Cardio maquina extremo
218,Trote Cinta D3,2,4,1,20,Cardio maquina extremo
219,Trote Cinta D4,2,4,2,20,Cardio maquina extremo
220,Trote Cinta D5,2,4,2,20,Cardio maquina extremo
221,Bici Estatica A1,2,1,2,30,Pedaleo indoor suave
222,Bici Estatica A2,2,1,2,30,Pedaleo indoor suave
223,Bici Estatica A3,2,1,1,30,Pedaleo indoor suave
224,Bici Estatica A4,2,1,2,30,Pedaleo indoor suave
225,Bici Estatica A5,2,1,2,30,Pedaleo indoor suave
226,Bici Estatica B1,2,2,2,40,Pedaleo indoor medio
227,Bici Estatica B2,2,2,2,40,Pedaleo indoor medio
228,Bici Estatica B3,2,2,1,40,Pedaleo indoor medio
229,Bici Estatica B4,2,2,2,40,Pedaleo indoor medio
230,Bici Estatica B5,2,2,2,40,Pedaleo indoor medio
231,Bici Estatica C1,2,3,2,45,Pedaleo indoor fuerte
232,Bici Estatica C2,2,3,2,45,Pedaleo indoor fuerte
233,Bici Estatica C3,2,3,1,45,Pedaleo indoor fuerte
234,Bici Estatica C4,2,3,2,45,Pedaleo indoor fuerte
235,Bici Estatica C5,2,3,2,45,Pedaleo indoor fuerte
236,Bici Estatica D1,2,4,2,20,Pedaleo indoor extremo
237,Bici Estatica D2,2,4,2,20,Pedaleo indoor extremo
238,Bici Estatica D3,2,4,1,20,Pedaleo indoor extremo
239,Bici Estatica D4,2,4,2,20,Pedaleo indoor extremo
240,Bici Estatica D5,2,4,2,20,Pedaleo indoor extremo
241,Eliptica A1,2,1,2,30,Movimiento cruzado suave
242,Eliptica A2,2,1,2,30,Movimiento cruzado suave
243,Eliptica A3,2,1,1,30,Movimiento cruzado suave
244,Eliptica A4,2,1,2,30,Movimiento cruzado suave
245,Eliptica A5,2,1,2,30,Movimiento cruzado suave
246,Eliptica B1,2,2,2,40,Movimiento cruzado medio
247,Eliptica B2,2,2,2,40,Movimiento cruzado medio
248,Eliptica B3,2,2,1,40,Movimiento cruzado medio
249,Eliptica B4,2,2,2,40,Movimiento cruzado medio
250,Eliptica B5,2,2,2,40,Movimiento cruzado medio
251,Eliptica C1,2,3,2,45,Movimiento cruzado fuerte
252,Eliptica C2,2,3,2,45,Movimiento cruzado fuerte
253,Eliptica C3,2,3,1,45,Movimiento cruzado fuerte
254,Eliptica C4,2,3,2,45,Movimiento cruzado fuerte
255,Eliptica C5,2,3,2,45,Movimiento cruzado fuerte
256,Eliptica D1,2,4,2,20,Movimiento cruzado extremo
257,Eliptica D2,2,4,2,20,Movimiento cruzado extremo
258,Eliptica D3,2,4,1,20,Movimiento cruzado extremo
259,Eliptica D4,2,4,2,20,Movimiento cruzado extremo
260,Eliptica D5,2,4,2,20,Movimiento cruzado extremo
261,Remo Ergometro A1,2,1,2,30,Traccion continua suave
262,Remo Ergometro A2,2,1,2,30,Traccion continua suave
263,Remo Ergometro A3,2,1,1,30,Traccion continua suave
264,Remo Ergometro A4,2,1,2,30,Traccion continua suave
265,Remo Ergometro A5,2,1,2,30,Traccion continua suave
266,Remo Ergometro B1,2,2,2,40,Traccion continua media
267,Remo Ergometro B2,2,2,2,40,Traccion continua media
268,Remo Ergometro B3,2,2,1,40,Traccion continua media
269,Remo Ergometro B4,2,2,2,40,Traccion continua media
270,Remo Ergometro B5,2,2,2,40,Traccion continua media
271,Remo Ergometro C1,2,3,2,45,Traccion continua fuerte
272,Remo Ergometro C2,2,3,2,45,Traccion continua fuerte
273,Remo Ergometro C3,2,3,1,45,Traccion continua fuerte
274,Remo Ergometro C4,2,3,2,45,Traccion continua fuerte
275,Remo Ergometro C5,2,3,2,45,Traccion continua fuerte
276,Remo Ergometro D1,2,4,2,20,Traccion continua extrema
277,Remo Ergometro D2,2,4,2,20,Traccion continua extrema
278,Remo Ergometro D3,2,4,1,20,Traccion continua extrema
279,Remo Ergometro D4,2,4,2,20,Traccion continua extrema
280,Remo Ergometro D5,2,4,2,20,Traccion continua extrema
281,Salto Cuerda A1,2,1,2,30,Saltos basicos suaves
282,Salto Cuerda A2,2,1,2,30,Saltos basicos suaves
283,Salto Cuerda A3,2,1,1,30,Saltos basicos suaves
284,Salto Cuerda A4,2,1,2,30,Saltos basicos suaves
285,Salto Cuerda A5,2,1,2,30,Saltos basicos suaves
286,Salto Cuerda B1,2,2,2,40,Saltos basicos medios
287,Salto Cuerda B2,2,2,2,40,Saltos basicos medios
288,Salto Cuerda B3,2,2,1,40,Saltos basicos medios
289,Salto Cuerda B4,2,2,2,40,Saltos basicos medios
290,Salto Cuerda B5,2,2,2,40,Saltos basicos medios
291,Salto Cuerda C1,2,3,2,45,Saltos rapidos fuertes
292,Salto Cuerda C2,2,3,2,45,Saltos rapidos fuertes
293,Salto Cuerda C3,2,3,1,45,Saltos rapidos fuertes
294,Salto Cuerda C4,2,3,2,45,Saltos rapidos fuertes
295,Salto Cuerda C5,2,3,2,45,Saltos rapidos fuertes
296,Salto Cuerda D1,2,4,2,20,Dobles saltos extremos
297,Salto Cuerda D2,2,4,2,20,Dobles saltos extremos
298,Salto Cuerda D3,2,4,1,20,Dobles saltos extremos
299,Salto Cuerda D4,2,4,2,20,Dobles saltos extremos
300,Salto Cuerda D5,2,4,2,20,Dobles saltos extremos
301,Natacion Piscina A1,2,1,2,30,Nado recreativo suave
302,Natacion Piscina A2,2,1,2,30,Nado recreativo suave
303,Natacion Piscina A3,2,1,1,30,Nado recreativo suave
304,Natacion Piscina A4,2,1,2,30,Nado recreativo suave
305,Natacion Piscina A5,2,1,2,30,Nado recreativo suave
306,Natacion Piscina B1,2,2,2,40,Nado constante medio
307,Natacion Piscina B2,2,2,2,40,Nado constante medio
308,Natacion Piscina B3,2,2,1,40,Nado constante medio
309,Natacion Piscina B4,2,2,2,40,Nado constante medio
310,Natacion Piscina B5,2,2,2,40,Nado constante medio
311,Natacion Piscina C1,2,3,2,45,Nado rapido fuerte
312,Natacion Piscina C2,2,3,2,45,Nado rapido fuerte
313,Natacion Piscina C3,2,3,1,45,Nado rapido fuerte
314,Natacion Piscina C4,2,3,2,45,Nado rapido fuerte
315,Natacion Piscina C5,2,3,2,45,Nado rapido fuerte
316,Natacion Piscina D1,2,4,2,20,Nado mariposa extremo
317,Natacion Piscina D2,2,4,2,20,Nado mariposa extremo
318,Natacion Piscina D3,2,4,1,20,Nado mariposa extremo
319,Natacion Piscina D4,2,4,2,20,Nado mariposa extremo
320,Natacion Piscina D5,2,4,2,20,Nado mariposa extremo
321,Burpees A1,2,1,2,30,Agilidad cuerpo suave
322,Burpees A2,2,1,2,30,Agilidad cuerpo suave
323,Burpees A3,2,1,1,30,Agilidad cuerpo suave
324,Burpees A4,2,1,2,30,Agilidad cuerpo suave
325,Burpees A5,2,1,2,30,Agilidad cuerpo suave
326,Burpees B1,2,2,2,40,Agilidad cuerpo media
327,Burpees B2,2,2,2,40,Agilidad cuerpo media
328,Burpees B3,2,2,1,40,Agilidad cuerpo media
329,Burpees B4,2,2,2,40,Agilidad cuerpo media
330,Burpees B5,2,2,2,40,Agilidad cuerpo media
331,Burpees C1,2,3,2,45,Agilidad cuerpo fuerte
332,Burpees C2,2,3,2,45,Agilidad cuerpo fuerte
333,Burpees C3,2,3,1,45,Agilidad cuerpo fuerte
334,Burpees C4,2,3,2,45,Agilidad cuerpo fuerte
335,Burpees C5,2,3,2,45,Agilidad cuerpo fuerte
336,Burpees D1,2,4,2,20,Agilidad cuerpo extrema
337,Burpees D2,2,4,2,20,Agilidad cuerpo extrema
338,Burpees D3,2,4,1,20,Agilidad cuerpo extrema
339,Burpees D4,2,4,2,20,Agilidad cuerpo extrema
340,Burpees D5,2,4,2,20,Agilidad cuerpo extrema
341,Escaleras A1,2,1,2,30,Subida escalones suave
342,Escaleras A2,2,1,2,30,Subida escalones suave
343,Escaleras A3,2,1,1,30,Subida escalones suave
344,Escaleras A4,2,1,2,30,Subida escalones suave
345,Escaleras A5,2,1,2,30,Subida escalones suave
346,Escaleras B1,2,2,2,40,Subida escalones media
347,Escaleras B2,2,2,2,40,Subida escalones media
348,Escaleras B3,2,2,1,40,Subida escalones media
349,Escaleras B4,2,2,2,40,Subida escalones media
350,Escaleras B5,2,2,2,40,Subida escalones media
351,Escaleras C1,2,3,2,45,Subida escalones fuerte
352,Escaleras C2,2,3,2,45,Subida escalones fuerte
353,Escaleras C3,2,3,1,45,Subida escalones fuerte
354,Escaleras C4,2,3,2,45,Subida escalones fuerte
355,Escaleras C5,2,3,2,45,Subida escalones fuerte
356,Escaleras D1,2,4,2,20,Subida escalones extrema
357,Escaleras D2,2,4,2,20,Subida escalones extrema
358,Escaleras D3,2,4,1,20,Subida escalones extrema
359,Escaleras D4,2,4,2,20,Subida escalones extrema
360,Escaleras D5,2,4,2,20,Subida escalones extrema
361,Aerobicos A1,2,1,2,30,Movimiento ritmico suave
362,Aerobicos A2,2,1,2,30,Movimiento ritmico suave
363,Aerobicos A3,2,1,1,30,Movimiento ritmico suave
364,Aerobicos A4,2,1,2,30,Movimiento ritmico suave
365,Aerobicos A5,2,1,2,30,Movimiento ritmico suave
366,Aerobicos B1,2,2,2,40,Movimiento ritmico medio
367,Aerobicos B2,2,2,2,40,Movimiento ritmico medio
368,Aerobicos B3,2,2,1,40,Movimiento ritmico medio
369,Aerobicos B4,2,2,2,40,Movimiento ritmico medio
370,Aerobicos B5,2,2,2,40,Movimiento ritmico medio
371,Aerobicos C1,2,3,2,45,Movimiento ritmico fuerte
372,Aerobicos C2,2,3,2,45,Movimiento ritmico fuerte
373,Aerobicos C3,2,3,1,45,Movimiento ritmico fuerte
374,Aerobicos C4,2,3,2,45,Movimiento ritmico fuerte
375,Aerobicos C5,2,3,2,45,Movimiento ritmico fuerte
376,Aerobicos D1,2,4,2,20,Movimiento ritmico extremo
377,Aerobicos D2,2,4,2,20,Movimiento ritmico extremo
378,Aerobicos D3,2,4,1,20,Movimiento ritmico extremo
379,Aerobicos D4,2,4,2,20,Movimiento ritmico extremo
380,Aerobicos D5,2,4,2,20,Movimiento ritmico extremo
381,Ciclismo Ruta A1,2,1,2,30,Pedaleo exterior suave
382,Ciclismo Ruta A2,2,1,2,30,Pedaleo exterior suave
383,Ciclismo Ruta A3,2,1,1,30,Pedaleo exterior suave
384,Ciclismo Ruta A4,2,1,2,30,Pedaleo exterior suave
385,Ciclismo Ruta A5,2,1,2,30,Pedaleo exterior suave
386,Ciclismo Ruta B1,2,2,2,40,Pedaleo exterior medio
387,Ciclismo Ruta B2,2,2,2,40,Pedaleo exterior medio
388,Ciclismo Ruta B3,2,2,1,40,Pedaleo exterior medio
389,Ciclismo Ruta B4,2,2,2,40,Pedaleo exterior medio
390,Ciclismo Ruta B5,2,2,2,40,Pedaleo exterior medio
391,Ciclismo Ruta C1,2,3,2,45,Pedaleo exterior fuerte
392,Ciclismo Ruta C2,2,3,2,45,Pedaleo exterior fuerte
393,Ciclismo Ruta C3,2,3,1,45,Pedaleo exterior fuerte
394,Ciclismo Ruta C4,2,3,2,45,Pedaleo exterior fuerte
395,Ciclismo Ruta C5,2,3,2,45,Pedaleo exterior fuerte
396,Ciclismo Ruta D1,2,4,2,20,Pedaleo exterior extremo
397,Ciclismo Ruta D2,2,4,2,20,Pedaleo exterior extremo
398,Ciclismo Ruta D3,2,4,1,20,Pedaleo exterior extremo
399,Ciclismo Ruta D4,2,4,2,20,Pedaleo exterior extremo
400,Ciclismo Ruta D5,2,4,2,20,Pedaleo exterior extremo
